Name,Size,Type,Tag,Alignment,CR,[PH],Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,Source,Page
Omin Dran,Medium,Humanoid,Half-elf,Lawful Neutral,5,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,196
Jim Darkmagic,Medium,Humanoid,Human,Chaotic Neutral,5,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,197
Viari,Medium,Humanoid,Human,Chaotic Good,5,,,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,198
Môrgæn,Medium,Humanoid,Elf,Chaotic Neutral,4,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,199
Flabbergast,Medium,Humanoid,Human,Lawful Neutral,4,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,200
Donaar Blit'zen,Medium,Humanoid,Dragonborn,Chaotic Good,3,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,201
K'thriss Drow'b,Medium,Humanoid,Elf,Chaotic Neutral,3,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,202
Rosie Beestinger,Small,Humanoid,Halfling,Chaotic Good,3,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,203
Walnut Dankgrass,Medium,Humanoid,Elf,Lawful Good,3,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,204
Brahma Lutter,Medium,Humanoid,Elf,Neutral,2,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,205
Oak Truestrike,Medium,Humanoid,Elf,Neutral,2,,,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,205
Pendragon Beestinger,Medium,Humanoid,Human,Neutral Evil,2,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,206
Phoenix Anvil,Medium,Humanoid,Human,Lawful Neutral,2,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,206
Portentia Dran,Medium,Monstrosity,Shapechanger,Lawful Evil,3,,,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,208
